"出発地","バス停名","出発時","出発分","運賃"
"&#9733","中尊寺","12","48",""
"","花館","12","49",""
"","鈴沢","12","50",""
"","平泉駅前","12","52",""
"","毛越寺","12","54",""
"","祇園","12","56",""
"","佐野","12","57",""
"","川屋敷","12","58",""
"","大佐","12","59",""
"","中里新町","12","0",""
"","沢田入口","12","1",""
"","山目駅前","12","1",""
"","中里市民センター前","12","2",""
"","山目一丁目","12","3",""
"","配志和神社前","12","4",""
"","竹山","12","5",""
"","一関一高前","12","8",""
"","大町角","12","9",""
"","大町通り","12","10",""
"","一関駅前","12","12",""
