"出発地","バス停名","出発時","出発分","運賃"
"&#9733","中尊寺","18","9",""
"","花館","18","10",""
"","鈴沢","18","11",""
"","平泉駅前","18","13",""
"","毛越寺","18","15",""
"","祇園","18","17",""
"","佐野","18","18",""
"","川屋敷","18","19",""
"","大佐","18","20",""
"","中里新町","18","21",""
"","沢田入口","18","22",""
"","山目駅前","18","22",""
"","中里市民センター前","18","23",""
"","山目一丁目","18","24",""
"","配志和神社前","18","25",""
"","竹山","18","26",""
"","一関一高前","18","29",""
"","大町角","18","30",""
"","大町通り","18","31",""
"","一関駅前","18","33",""
