"出発地","バス停名","出発時","出発分","運賃"
&#9733,"白鳥",8,22,
,"塔ヶ先",8,23,
,"丁切",8,24,
,"三日町",8,26,
,"七日町",8,27,
,"前沢新町",8,27,
,"二十人町",8,28,
,"母体口",8,29,
,"前沢保育所前",8,30,
,"イオン前沢",8,33,
