"出発地","バス停名","出発時","出発分","運賃"
"&#9733","平泉駅前",17,45,""
"","鈴沢",17,47,""
"","花館",17,48,""
"","中尊寺",17,49,""
"","衣川橋",17,51,""
"","瀬原",17,53,""
