"出発地","バス停名","出発時","出発分","運賃"
"&#9733","鈴沢","","",""
"","花館","","",""
"","中尊寺","","",""
"","衣川橋","","",""
"","瀬原","","",""
"","徳沢","","",""
"","白鳥","","",""
"","塔ヶ先","","",""
"","丁切","","",""
"","三日町","","",""
"","七日町","","",""
"","前沢新町","","",""
"","二十人町","","",""
"","母体口","","",""
"","前沢保育所前","","",""
"","イオン前沢","","",""
