出発地,バス停名,出発時,出発分,運賃
&#9733,山目一丁目,6,49,
,中里市民センター前,6,50,
,山目駅前,6,51,
,沢田入口,6,51,
,中里新町,6,52,
,大佐,6,53,
,川屋敷,6,34,
,佐野,6,55,
,祇園,6,56,
,毛越寺,6,58,
,平泉駅前,7,00,
,鈴沢,7,02,
,花館,7,03,
,中尊寺,7,04,
,衣川橋,7,06,
,瀬原,7,08,
