"出発地","バス停名","出発時","出発分","運賃"
"&#9733","大佐",15,38,""
"","川屋敷",15,39,""
"","佐野",15,40,""
"","祇園",15,41,""
"","毛越寺",15,43,""
"","平泉駅前",15,45,""
"","鈴沢",15,47,""
"","花館",15,48,""
"","中尊寺",15,49,""
"","衣川橋",15,51,""
"","瀬原",15,53,""
