"出発地","バス停名","出発時","出発分","運賃"
"&#9733","瀬原","","",""
"","衣川橋","","",""
"","中尊寺","","",""
"","花館","","",""
"","鈴沢","","",""
"","平泉駅前","","",""
"","毛越寺","","",""
"","祇園","","",""
"","佐野","","",""
"","川屋敷","","",""
"","大佐","","",""
"","中里新町","","",""
"","沢田入口","","",""
"","山目駅前","","",""
"","中里市民センター前","","",""
"","山目一丁目","","",""
"","配志和神社前","","",""
"","竹山","","",""
"","磐井橋","","",""
"","一関一高前","","",""
"","大町角","","",""
"","大町通り","","",""
"","一関駅前","","",""
