出発地,バス停名,出発時,出発分,運賃
&#9733,佐野","7","30",""
"","祇園","7","31",""
"","毛越寺","7","33",""
"","平泉駅前","7","35",""
"","鈴沢","7","37",""
"","花館","7","38",""
"","中尊寺","7","39",""
"","衣川橋","7","41",""
"","瀬原","7","43",""
