"出発地","バス停名","出発時","出発分","運賃"
"&#9733","佐野",12,50,""
"","祇園",12,51,""
"","毛越寺",12,53,""
"","平泉駅前",12,58,""
"","鈴沢",13,0,""
"","花館",13,1,""
"","中尊寺",13,2,""
"","衣川橋",13,4,""
"","瀬原",13,6,""
