"出発地","バス停名","出発時","出発分","運賃"
"&#9733","佐野",10,40,""
"","祇園",10,41,""
"","毛越寺",10,43,""
"","平泉駅前",10,45,""
"","鈴沢",10,47,""
"","花館",10,48,""
"","中尊寺",10,49,""
"","衣川橋",10,51,""
"","瀬原",10,53,""
