"出発地","バス停名","出発時","出発分","運賃"
"&#9733","中里市民センター前","14","52",""
"","山目一丁目","14","53",""
"","配志和神社前","14","54",""
"","竹山","14","55",""
"","一関一高前","14","58",""
"","大町角","14","59",""
"","大町通り","15","0",""
"","一関駅前","15","2",""
