"出発地","バス停名","出発時","出発分","運賃"
"&#9733","鈴沢","19","11",""
"","平泉駅前","19","13",""
"","毛越寺","19","15",""
"","祇園","19","17",""
"","佐野","19","18",""
"","川屋敷","19","19",""
"","大佐","19","20",""
"","中里新町","19","21",""
"","沢田入口","19","22",""
"","山目駅前","19","22",""
"","中里市民センター前","19","23",""
"","山目一丁目","19","24",""
"","配志和神社前","19","25",""
"","竹山","19","26",""
"","一関一高前","19","29",""
"","大町角","19","30",""
"","大町通り","19","31",""
"","一関駅前","19","33",""
